title,price
Menù Hamburger,"16,50"
Menù Cheeseburger,"17,50"
Menù Bacon Cheeseburger,"18,50"
Menù Junior,"15,50"
Menù Ebc,"19,50"
Menù Brie Burger,"19,50"
Menù Manzo Criminale,"24,50"
Menù Chicken,"15,50"
Menù Black Angus Burger,"24,50"
Menù Australian Black Angus Wagyu Burger,"25,50"
Menù Street Food King Burger,"24,50"
Menù Exclusive,"24,00"
Menù Vegetale,"18,00"
Menù Street Food Burger,"23,50"
Menù Street Food King,"38,50"
Menù Pulled Pork,"22,50"
Menù Famiglia,"1,00"
Menù Tex Mex per Due,"3,00"
Componi il Tuo Panino,"9,50"
Componi il Tuo Burrito,"10,50"
Hamburger Semplice,"11,50"
Cheeseburger,"13,50"
Bacon Cheeseburger,"13,50"
Egg Bacon Cheeseburger,"7,50"
Brie Burger,"7,50"
Junior Burger,"12,00"
Chicken Burger,"19,00"
Fish Burger,"18,00"
Manzo Criminale Burger,"19,00"
Black Angus Burger American,"0,00"
Australian Black Angus Wagyu,"15,00"
Street Food King Burger,"14,00"
Mexican Pork Burger,"16,00"
Panino Pulled Pork,"0,00"
Buffalo Burger,"19,00"
Hamburger Street Food,"14,00"
Hamburger Exclusive,"0,00"
Hamburger Vegetale,"0,00"
Mexican Empanadas Carnitas,"0,00"
Mexican Empanadas Cheddar,"0,00"
Mexican Empanadas Chili,"0,00"
Mexican Empanadas Pollo,"9,00"
Mexican Empanadas Bacon,"13,00"
Mix de Empanadas,"12,50"
Burrito con Chili,"13,50"
Burrito con Pollo e Bacon,"13,00"
Burrito con Salmone e Philadelphia,"14,00"
Burrito con Picadillo,"11,50"
Burrito Pulled Pork,"20,50"
Burrito al Chili Vegetariano Piccante,"18,50"
Menù Salmone,"18,50"
Menù Chili,"19,50"
Menù Picadillo,"16,50"
Menù Burrito Pulled Pork,"10,50"
Menù Burrito al Chili Vegetariano Piccante,"11,50"
Fajitas di Pollo,"0,00"
Fajitas di Maiale,"11,50"
Fajitas con Gamberi e Crema al Cocco,"11,50"
Fajitas Pulled Pork,"16,00"
Fajitas al Salmone,"17,00"
Menù Fajitas di Pollo,"0,00"
Menù Fajitas di Maiale,"16,00"
Menù Fajitas con Gamberi e Crema al Cocco,"17,00"
Fajitas Pulled Pork,"8,00"
Fajitas al Salmone,"8,00"
Tacos con Picadillo,"8,00"
Tacos al Curry con Pollo,"8,00"
Tacos con Chili di Carne,"0,00"
Tacos con Pollo,"8,00"
Tacos con Gamberi e Crema al Cocco,"13,00"
Tacos Pulled Pork,"11,00"
Mix di Tacos,"11,00"
Menù Tacos con Picadillo,"11,00"
Menù Tacos con Pollo al Curry,"11,00"
Menù Tacos con Chili di Carne,"0,00"
Menù Tacos con Pollo,"11,00"
Menù Tacos con Gamberi e Crema al Cocco,"18,00"
Menù Tacos Pulled Pork,"14,50"
Menù Mix di Tacos,"10,50"
Chorizo Hot Dog,"11,50"
Hot Dog,"13,00"
Hot Dog Messicano,"17,00"
Super Hot Dog,"13,00"
Menù Chorizo Hot Dog,"14,00"
Menù Hot Dog,"15,50"
Hot Dog Messicano,"8,50"
Menù Super Hot Dog,"9,50"
Pica Pollo,"10,00"
Coscette e Alette di Polletto Speziate,"11,00"
Fagioli e Salsiccia alla Messicana,"11,00"
Cubanita,"12,00"
Piatto Lattino Piccante,"7,50"
Riso con Chili e Chorizo,"11,50"
Nachos,"13,00"
Maxi Nachos,"0,00"
Super Nachos con Chili,"0,00"
Pork Ribs Affumicate con Insalata e Patatine - 300g,"10,00"
Pork Ribs Affumicate con Insalata e Patatine - 500g,"10,00"
Insalata Caesar,"9,00"
Insalata Bacon,"10,00"
Insalata Primavera,"10,00"
Insalata con Philadelphia,"11,50"
Insalata con Tonno,"5,50"
Insalata di Salmone,"7,50"
Patatine Dipper,"5,50"
Patatine Dipper Special,"6,00"
Patatine con Buccia Fritte Speziate,"5,50"
Patate con Buccia Fritte,"8,00"
Medaglioni di Patate Roasti,"10,00"
Chili e Cheese Nuggets,"7,50"
Peperoncino Jalapeno Fritto,"7,50"
Anelli di Cipolla,"8,50"
Anelli di Peperoni,"9,50"
Chicken Nuggets,"10,00"
Yuka Fritta,"10,00"
Pulled Pork Bites,"0,00"
Guacamole Bites,"10,00"
Chicken Kicks,"8,00"
Bocconcini di Alghe Fritte,"8,00"
Churros con Nutella,"8,00"
Churros con Dulce de Leche,"5,00"
Churros con Cioccolato Bianco,"5,00"
Donuts,"5,00"
Donuts alla Fragola,"5,50"
Donuts alla Vaniglia,"5,50"
Muffin Red Velvet,"8,00"
Muffin Triple Chocolate,"8,00"
Waffle con Nutella,"8,00"
Waffle con Dulche de Leche,"5,50"
Waffle con Cioccolato Bianco,"7,00"
Chocolate Chip Muffin,"7,00"
Tiramisù Classico,"7,00"
Tiramisù alla Nutella,"7,50"
Cheesecake con Nutella,"7,00"
Cheesecake ai Frutti di Bosco,"7,00"
Cheesecake alla Fragola,"0,00"
Torta Oreo,"0,00"
Cheesecake al Caramello,"0,00"
Brownies Black out Cheesecake,"0,00"
Maxi Crepes Nutella,"0,00"
Maxi Crepes Nutella e Mascarpone,"3,50"
Maxi Crepes Nutella e Banana,"9,00"
Maxi Crepes Nutella e Cocco,"0,00"
Maxi Crepes Fragole e Nutella,"9,00"
Muffin Oreo,"3,00"
Apple Pie,"4,00"
Carrot Cake,"4,50"
Mega Fabulous Chocolate Cake,"3,00"
Bibita in Lattina,"7,50"
Bibita 1.5L,"16,50"
Birra in Bottiglia 33cl,"16,50"
Peroni in Lattina 33cl,"19,50"
Ciouf Scotch Ale 33cl,0
Ciouf Blond 33cl,0
Leffe Radieuse 33cl,0
Leffe Royale 33cl,0
Blanche de Namur 33cl,0
Chimay Tappo Rosso 33cl,0
Menabrea 33cl,0
Crus 75cl,0
Merlot,"20,50"
Barbera d'Asti,"19,50"
Nero d'Avola,"24,50"
Chianti Colli Senesi,"23,50"
Primitivo di Salento,"26,50"
Morellino di Scansano,"28,50"
Barbaresco,"49,50"
Syrah Tellus,"21,50"
Rosso di Montalcino,"19,50"
Brunello di Montalcino,"19,50"
Gewurztraminer,"16,50"
Muller Thurgau,"16,50"
Pecorino,"49,00"
Falanghina Benevento,"34,00"
Vermentino,"27,00"
Ferrari Brut,"63,00"
Berlucchi Brut,"63,00"
Mionetto Doc,"73,00"
Champagne Mum Gordon Rouge,"38,00"
Champagne Moet Chandon,"38,00"
Champagne Veuve Cliquot,"40,00"
Vodka Absolute 1L,"30,00"
Vodka Sky 1L,"38,00"
Rum Pampero 1L,"0,00"
Rum Havana Club 1L,"0,00"
Gin Bosford 1L,"0,00"
Gordon Gin 1L,"0,00"
