title,price,descriptions
Supplì senza carne (unità),"1,40",
Crocchette di patate (unità),"1,20",
Supplì con nduja (unità),"1,70",
Supplì cacio e pepe (unità),"1,70",
Supplì amatriciana,"1,70",
Chele di Granchio,"1,00",cadauno
Fiori di Zucca,"2,00",cadauno
Patatine Fritte,"3,50",
Olive Ascolane,"0,50",
Mozzarelline,"0,50",
Patatine Fritte,"3,50",
Insalata di pollo,"3,30","Insalata, pollo, maionese e pepe"
Cicoria e mozzarella,"3,30",Cicoria ripassata e mozzarella
Cotto e mozzarella,"3,30",Prosciutto cotto e mozzarella
Crudo e mozzarella,"3,30","Prosciutto crudo, mozzarella e glassa aceto balsamico"
Mortadella,"3,00",
Crudo e fichi,"0,00",Prosciutto crudo e fichi
Focaccia,"1,50",Sale e olio EVO (base bianca e senza mozzarella)
Focaccia con patata,"2,50","Focaccia con patate, olivo EVO e rosmarino (base bianca e senza mozzarella)"
Focaccia crudo,"2,90",Focaccia con prosciutto crudo (base bianca e senza mozzarella)
Focaccia verdurina,"2,90",Focaccia con verdure a scelta (base bianca e senza mozzarella)
Pizza rossa (senza mozzarella),"2,50",Pasta di pomodoro e olio
Pizza funghi (senza mozzarella),"2,30","Pasta di pomodoro, olio e funghi champignon"
Pizza marinara (senza mozzarella),"2,50","Pasta di pomodoro, olio, alici, aglio prezzemolo e peperoncino"
Pizza Margherita,"2,80",Rossa con mozzarella e olio EVO
Pizza Napoli,"2,90",Margherita con alici
Pizza fungherita,"2,70",Margherita con funghi champignon
Pizza con salsiccia,"3,00",Margherita con salsiccia
Pizza diavola,"3,30",Margherita con salame piccante
Pizza crudo rossa,"3,30",Margherita con prosciutto crudo
Pizza capricciosa,"3,40","Margherita, crudo, funghi champignon, carciofini e olive"
Pizza vegetariana rossa,"3,30",Margherita con verdure miste
Pizza americana,"3,30",Margherite con würstel e patatine fritte
Pizza parmigiana,"3,40","Margherita con melanzane, basilico e parmigiano"
Pizza tonno e cipolla,"3,30",Margherite con tonno e cipolle
Pizza vegana (senza mozzarella),"3,00","Pasta di pomodoro, olio, passata di pomodoro e verdure miste"
Pizza bufalina,"3,90",Rossa con mozzarella di bufala e basilico
Pizza amatriciana,"3,90","Margherita con pancetta, pecorino e pepe nero"
Pizza gourmet,"0,00",Rossa con mozzarella di bufala a crudo e pesto
Boscaiola Rossa,"3,40","passata di pomodoro, olio, funghi champignon, salsiccia e mozzarella"
Prosciutto Cotto,"2,80","passata di pomodoro, mozzarella e prosciutto cotto"
Peperoni,"2,80","passata di pomodoro, mozzarella e peperoni"
Funghi Porcini,"3,50","passata di pomodoro, mozzarella e funghi porcini"
Pizza Biancaneve,"2,00",Mozzarella e olio EVO
Pizza con patate e wurstel,"2,90",Biancaneve con patate e wurstel
Pizza con patate e cotto,"2,90",Biancaneve con patate e prosciutto cotto
Pizza crostino,"2,80",Biancaneve con prosciutto cotto
Pizza boscaiola,"2,90",Biancaneve con salsiccia e funghi champignon
Pizza zucchina,"2,80",Biancaneve con zucchine
Pizza con cicoria e salsiccia,"3,30",Biancaneve con cicoria ripassata e salsiccia
Pizza ortolana,"3,80",Biancaneve con verdure miste
Pizza fiori e alici,"3,40",Biancaneve con fiori di zucca e alici
Pizza con patate e salsiccia,"3,00",Biancaneve con patate e salsiccia
Pizza con fiori e zucchine,"3,30",Biancaneve con zucchine e fiori di zucca
Pizza con broccoli e salsiccia,"3,30",Biancaneve con broccoli e salsiccia
Pizza stracchino,"3,90",Biancaneve con stracchino e pancetta o prosciutto crudo
Pizza con speck e provola,"3,90",Biancaneve con speck e provola
Pizza tartufata,"3,90","Biancaneve con patate lesse, provola, speck e tartufo"
Pizza montanara (piccante),"3,70","Biancaneve con melanzane, salsiccia, provola e peperoncino"
Pizza con pancetta e provola,"3,90",Biancaneve con pancetta e provola
Pizza pecorita,"3,90","Biancaneve con patate lesse, pancetta e pecorino"
Pizza zucchinella,"3,70","Biancaneve con zucchine, funghi porcini e parmigiano"
Pizza Fiorita,"3,90","Biancaneve con zucchine, pomodoro e fior di latte"
Pizza gricia,"3,90",Biancaneve con pancetta e pecorino
Pizza cacio e pepe,"3,50",Biancaneve con pecorino e pepe
Patate e Verdure,"3,00","mozzarella, patate lesse e verdure a scelta"
Salame Piccante,"3,50",mozzarella e salame piccante
4 Formaggi e Funghi,"3,40","mozzarella, fontina, gorgonzola, edamer e funghi champignon"
Melanzane Piccante,"3,40","mozzarella, melanzane grigliate, provola e salsa marinara"
Vegetariana Bianca,"3,30","mozzarella, melanzane, zucchine e peperoni"
Zucchine e Pomodorino,"3,00","mozzarella, zucchine alla julienne e pomodoro Pachino"
La Pomodorino,"2,80","mozzarella, pomodorino, origano e basilico"
Funghi Bianca,"2,80",mozzarella e funghi champignon
Patate,"2,50","mozzarella, patate lesse, olio e rosmarino"
Tera Tera,"3,90","mozzarella, patate lesse, funghi porcini e parmigiano"
Amatriciana,"3,90","passata di pomodori, mozzarella, pancetta e pecorino"
Pizza gamberetti,"3,90","Rossa con maionese, lattuga e gamberetti"
Pizza caprese,"3,90",Rossa con pomodorini e mozzarella fior di latte
Pizza con porcini piccante,"3,90","Rossa con maionese, funghi porcini, salsa marinara e pomodorini"
Pizza tonno,"3,90","Rossa con maionese, tonno, pomodorini e prezzemolo"
Nuvoletta,"3,90","passata di pomodoro, maionese, prosciutto crudo e mozzarella fiordilatte"
Pizza con salmone,"3,90","Rossa con maionese, lattuga, salmone, mozzarella fior di latte e aceto balsamico"
Pizza puntarella,"3,90","Rossa con puntarelle, aceto, alici e aglio"
Focaccia Ripiena con Nutella,"2,50",
Acqua Naturale Lilia,"1,00",50cl
Acqua Naturale Sveva,"1,00",50cl
Acqua Frizzante Sveva,"1,00",50cl
Acqua Frizzante Lilia,"1,00",50cl
Bibita in Lattina,"1,80",
Bibita in Lattina 50cl,"1,80",
Bibita 50cl,"2,30",
"Bibita 1,5L","3,00",
Acqua naturale pet,"1,00",
Acqua Nepi pet,"1,00",
Coca-Cola 33 cl,"2,00",
Coca-Cola pet,"2,50",
Coca-Cola Zero pet,"2,50",
Fanta pet,"2,50",
Coca-Cola vetro 33 cl,"2,50",
Te` San Benedetto pesca pet,"2,50",
Te San Benedetto limone pet,"2,50",
Super Tennent`s 33 cl,"3,80",
Ichnusa 33 cl,"2,80",
Ichnusa non filtrata 33 cl,"3,00",
Peroni 33 cl,"2,20",
Moretti 33 cl,"2,20",
Nastro Azzurro 33 cl,"2,80",
Heineken 33 cl,"2,80",
