Title,Price
4 Compositions Chicken Chunks,"5,00"
8 Compositions Chicken Chunks,"8,00"
12 Compositions Chicken Chunks,"15,00"
20 Compositions Chicken Chunks,"18,00"
6 Compositions Chicken Wings,"12,00"
10 Compositions Chicken Wings,"17,50"
15 Compositions Chicken Wings,"26,50"
20 Compositions Chicken Wings,"32,00"
Mixed Wings and Chicken Chunks,"11,00"
Simple Chicken Sandwich,"6,50"
Spicy Chicken Sandwich,"7,50"
Spicy Chicken and Bacon Sandwich,"9,00"
Chicken and Cheese Sandwich,"9,50"
Sandwich Chicken Cheese Vegetables,"13,00"
Hamburger Classico,"7,50"
Cheeseburger,"8,00"
Baconburger,"8,50"
Hamburger Melomangio,"12,50"
Hamburger 100Celle,"11,50"
Hamburger Colosseo,"15,50"
6 Wings,"8,50"
10 Wings,"14,50"
15 Wings,"0,00"
20 Wings,"0,00"
4 Nuggets,"3,00"
8 Nuggets,"5,00"
12 Nuggets,"8,50"
16 Nuggets,"11,50"
Fried Chips,"4,00"
Onion Rings,"4,00"
Tiramisù Classico Monoporzione,"0,00"
Tortino Cuore Caldo al Cioccolato Bianco,"0,00"
Tortino Cuore Caldo al Cioccolato,"0,00"
Tortino Cuore Caldo al Pistacchio,"6,00"
Cheesecake ai Frutti di Bosco,"0,00"
Cheesecake al Cioccolato,"0,00"
Sacher,"0,00"
Acqua Naturale,"1,00"
Acqua Frizzante,"1,00"
Bibita in Lattina 33cl,"2,00"
Birra 33cl,"2,50"
