Title,price
Salsa di Soia Monodose,"0,15"
Salsa Wasabi Monodose,"0,15"
Salsa allo Zenzero Monodose,"0,15"
Salsa Kikkoman 15cl,"4,15"
Menù Sushi Box,"10,00"
Menù Sushi Box 10 Pezzi,"9,90"
Menù Sushi Box 12 Pezzi,"11,90"
Menù Sushi Box 18 Pezzi,"18,00"
Menù Speciale,"25,00"
Menù 38 Pezzi,"38,00"
Menù 48 Pezzi,"45,00"
Menù 60 Pezzi,"58,00"
Componi il Tuo Pokè,"12,90"
Salmone Pokè Bowl,"9,90"
Tonno Pokè Bowl,"9,90"
Salmone e Tonno Pokè Bowl,"9,90"
Tuna Tataki Pokè Bowl,"9,90"
Involtini di Primavera,"2,50"
Edamame,"2,50"
Saccottini di Salmone,"3,00"
Involtini di Salmone,"5,00"
Ravioli di Carne,"4,00"
Goma Wakame,"3,50"
Involtini Primavera Verde,"3,50"
Ravioli di Gamberi alla Piastra,"5,50"
Riso con Verdure,"5,00"
Riso con Gamberi,"6,00"
Riso con Pollo,"5,00"
Riso con Frutti di Mare,"6,00"
Spaghetti Udon con Gamberi,"6,00"
Spaghetti con Gamberi,"6,00"
Spaghetti con Verdure,"5,00"
Spaghetti con Frutti di Mare,"6,00"
Sushi Jo,"5,00"
Sashimi Sake,"9,00"
Sashimi Maguro,"9,50"
Sashimi Tai,"8,50"
Sashimi Misto,"11,00"
Nigiri Sake,"3,00"
Nigiri Maguro,"3,50"
Nigiri Tai,"3,00"
Nigiri Ebi,"3,00"
Nigiri Amaebi,"4,00"
Nigiri Unagi,"4,50"
Nigiri Aburi Sake,"3,00"
Nigiri Aburi Maguro,"4,00"
Nigiri Surimi,"2,50"
Nigiri Avocado,"2,50"
Uramaki Vegan Roll,"6,00"
Uramaki Cheese Verdure Roll,"8,00"
Uramaki Sake Avocado Roll,"6,00"
Uramaki Maguro Avocado Roll,"6,90"
Uramaki Sake Spicy,"6,00"
Uramaki Maguro Spicy,"9,50"
Uramaki California Roll,"6,00"
Uramaki Ebiten con Mango,"9,50"
Uramaki Ebiten con Patate,"8,50"
Uramaki Philadelphia Roll,"9,50"
Uramaki Green Dragon Roll,"9,50"
Uramaki Red Dragon Roll,"9,50"
Uramaki Rainbow,"10,90"
Uramaki Special Salmone Roll,"10,90"
Uramaki Exotic Roll,"10,90"
Uramaki Ebi Cheese Roll,"10,90"
Uramaki Tuna Roll,"12,00"
Uramaki Black Dragon Roll,"15,00"
Uramaki Benny Roll,"12,00"
Uramaki Double Dragon Roll,"18,00"
Uramaki Pistacchio Roll,"9,50"
Uramaki Mandorle Roll,"9,50"
Uramaki Ebiten con Anacardi,"9,50"
Uramaki Diavolo Roll,"9,90"
Philadelphia Cipolla Roll,"12,00"
Philadelphia Mandorle Roll,"12,00"
Ebiten Tartufo Roll,"15,90"
Uramaki Tonno Scottato Roll,"12,90"
Hosomaki Sake,"3,00"
Hosomaki Maguro,"3,50"
Hosomaki Tai,"3,00"
Hosomaki Surimi,"3,00"
Hosomaki Ebi,"3,00"
Hosomaki Cetriolo,"2,50"
Hosomaki Avocado,"3,00"
Hosomaki Mini Fritto Roll,"6,90"
Hosomaki Sake Fritto,"6,00"
Hosomaki Tempura,"6,50"
Temaki California,"3,00"
Temaki Sake,"3,00"
Temaki Maguro,"3,50"
Temaki Unaghi,"4,00"
Temaki Tempura,"4,00"
Gunkan Salmone,"3,50"
Gunkan Tonno,"4,00"
Gunkan Tobiko Rosso,"4,50"
Gunkan Pistacchio Jo,"4,50"
Gunkan Mandorle Sake Jo,"4,50"
Gunkan con Uova di Salmone,"5,00"
Gunkan Sushi Jo,"5,00"
Sushi Jo Sake Tartare,"5,00"
Futomaki,"6,00"
Chirasi Sake Don,"9,00"
Chirashi Misto,"12,00"
Chirashi Unaghi Don,"10,00"
Chirashi di Vulcano,"12,00"
Chirashi Tori Karaghe,"8,00"
Chirashi Sake Teriyaki Don,"12,00"
Tartare di Salmone,"6,00"
Tartare di Tonno,"7,00"
Carpaccio Sake,"6,00"
Carpaccio Misto,"7,00"
Onigiri di Salmone,"2,50"
Onigiri Bobo 4 Pezzi,"4,00"
Onigiri Bobo 9 Pezzi,"8,00"
Tataki Sake,"6,00"
Tataki Tuna,"6,50"
Yaki Ebi,"4,00"
Yaki Tori,"4,50"
Yaki Sake,"4,50"
Yaki Ika,"4,50"
Tori Karaage,"6,50"
Tempura Mariwase,"8,50"
Ebi Tempura,"8,00"
Ika Furai,"8,00"
Involtini di Gamberi,"8,00"
Dorayaki,"2,50"
Dolce Giapponese con Fagioli Rossi,"4,00"
Dolce Giapponese con Tè Verde,"4,00"
Dolce Giapponese con Sesamo Nero,"4,00"
Fried Sweet Roll,"4,00"
Acqua Naturale 50cl,"1,00"
Acqua Frizzante 50cl,"1,00"
Bibita 33cl,"1,80"
birra 50cl – Asahi,"5,00"
Birra 50cl – Sapporo,"5,00"
Heineken 66cl,"4,00"
Falanghina 75cl,"14,90"
