Title,Price,Descriptions
Menù Cucchi Baby,"8,90","1 hamburger di manzo 100g e ketchup , 1 porzione di patatine fritte e 1 bibita a scelta"
Menù Classic Burger,"11,90","1 burger a scelta, 1 patatina fritta e 1 bibita a scelta"
Menù burger Gourmet,"13,90","burger gourmet a scelta, 1 patatina fritta e 1 bibita a scelta"
Burger Romolo e Remo,"8,20","hamburger di manzo, iceberg, pomodoro, ketchup e maionese"
Burger Numa Pompilio,"8,20","hamburger di manzo, iceberg, pomodoro, ketchup, maionese e cheddar"
Burger Tullo Ostilio,"8,70","hamburger di manzo, iceberg, pomodoro, cheddar, bacon e salsa barbecue"
Burger Anco Marzio,"8,70","hamburger di manzo, iceberg, pomodoro, uovo, maionese e salsa barbecue"
Burger Servio Tullio,"8,70","2 hamburger di manzo, iceberg, pomodoro, cheddar, ketchup e maionese"
Burger al Piatto,"10,90","1 hamburger di manzo, melanzane grigliate e zucchine grigliate"
Burger Tarquinio Prisco,"8,70","hamburger di pollo, iceberg, pomodoro e maionese"
Burger Tarquinio il Superbo,"8,70","cotoletta di pollo, iceberg, pomodoro e maionese"
Burger Cacio e Pepe,"9,70","hamburger di manzo, crema di pecorino DOP, edamer, pecorino DOP e pepe nero"
Burger Amatriciano,"9,70","hamburger di manzo, crema di pecorino DOP, cipolla rossa agrodolce, pomodori secchi e bacon croccante"
Burger Carbonaro,"9,70","hamburger di manzo, crema di pecorino DOP, uovo, pecorino DOP, edamer e bacon croccante"
Burger l'Ignorante,"9,70","2 hamburger di manzo, tabasco, salsa barbecue, bacon, cicoria ripassata, peperoni grigliati, scalogno caramellato e cheddar"
Caesar Burger,"9,70","hamburger di pollo, grana, rucola e salsa caesar"
Hamburger il Contadino,"8,70","hamburger di verdure, iceberg, pomodoro e salsa allo yogurt"
1/2 Burger,"3,90",hamburger di manzo 100g e ketchup
Caesar Salad,"7,00","insalata iceberg, petto di pollo grigliato, parmigiano, crostini di pane e salsa caesar"
Insalata Vegetariana,"8,00","insalata, radicchio, zucchine grigliate, melanzane grigliate, peperoni grigliati, pomodoro Pachino e olive nere"
Patatine Fritte,"4,00",informazione: il prodotto potrebbe essere congelato
Pepite Pulled Pork,"6,00",5 pezzi
Nuggets di Cheddar e Jalapenos,"5,00",5 pezzi
Alette di Pollo,"4,50",5 pezzi
Alette di Pollo panate al Barbecue,"6,00",5 pezzi
Polpettine della Nonna,"5,00",5 pezzi
Polpettine Cacio e Pepe,"7,00",5 pezzi
Nuggets di Pollo,"5,00",5 pezzi
Onion Rings,"4,00",5 pezzi
Nutella Bun,"3,90",bun 50g con nutella
Salsa Maionese,"1,00",bustina maionese
Salsa BBQ,"1,00",bustina barbecue
Salsa Senape,"1,00",bustina senape
Salsa Ketchup,"1,00",bustina di ketchup
Acqua Naturale,"2,00",50cl
Acqua Frizzante,"2,00",50cl
Bibita 33cl,"3,00",
Birra 33cl,"3,50",
Montante Doppelbock,"7,00","33cl, vol 7,3%"
Cucchi IPA in Lattina,"7,00","33cl, vol 6%"
Rye 3 American IPA,"7,00","33cl, vol 6,2%"
Lisa Lager,"5,50","33cl, vol 5%"
